num,longitude,latitude,ref
3341A,112.4951,34.6332,N
3342A,128.4741,47.4346,N
3343A,128.6871,47.7369,N
3344A,128.8431,47.8474,N
3345A,131.0577,45.7879,N
3346A,108.3872,31.1628,N
3347A,105.9017,29.3569,N
3348A,105.839,30.1946,N
3349A,107.7983,30.6758,N
3350A,106.6479,29.0244,N
3351A,105.7167,29.7076,N
3352A,107.0732,29.8617,N
3353A,107.3535,29.7287,N
3354A,108.815,29.5081,N
3355A,108.3679,30.8426,N
3356A,108.4319,30.7555,N
3357A,104.0106,30.6931,N
3358A,103.8458,30.6994,N
3359A,104.0578,30.5225,N
3360A,104.7894,29.3194,N
3361A,103.7311,29.5628,N
3362A,120.5014,36.4034,N
3363A,117.9883,36.8372,N
3364A,117.3152,34.8103,N
3365A,118.5719,37.565,N
3366A,121.5206,37.4336,N
3368A,119.1977,36.6872,N
3369A,118.3977,35.0278,N
3370A,118.3564,35.0215,N
3371A,116.3728,37.4403,N
3372A,116.3572,37.4094,N
3374A,115.5564,35.0891,N
3375A,102.8017,24.8336,N
3376A,103.7947,25.462,N
3377A,103.7444,25.5261,N
3378A,122.371,40.6771,N
3379A,122.1139,40.2278,N
3380A,102.8914,34.9617,N
3396A,112.0828,32.0067,N
3397A,112.1214,32.1008,N
3398A,114.9136,30.4445,N
3399A,112.6703,26.882,N
3400A,109.1911,21.4415,N
3401A,108.4834,22.7618,N
3402A,109.5422,24.3996,N
3403A,110.1764,25.2381,N
3404A,108.5959,21.9633,N
3405A,109.5886,23.1172,N
3406A,106.6085,23.8798,N
3407A,120.6916,30.7739,N
3408A,120.5683,29.9361,N
3409A,120.4906,30.0861,N
3410A,120.8752,30.0249,N
3411A,120.8369,30.0137,N
3413A,118.1953,28.4401,N
3414A,115.8347,28.932,N
3415A,114.4519,28.0828,N
3416A,119.1755,36.7149,N
3417A,117.0709,40.1465,N
3418A,116.8336,40.4095,N
3419A,109.9447,40.6261,N
3421A,113.1775,40.9779,N
3422A,118.8436,31.9198,N
3423A,119.0138,31.6494,N
3424A,118.879,31.3302,N
3425A,120.624,31.1733,N
3426A,118.8755,33.2894,N
3427A,118.8554,32.3578,N
3428A,120.3142,31.4753,N
3429A,119.8598,31.7066,N
3430A,119.5826,31.7245,N
3431A,120.6505,31.416,N
3432A,120.9348,31.9883,N
3434A,119.2413,34.6539,N
3435A,119.9192,32.4322,N
3436A,120.4279,33.205,N
3437A,88.3118,43.3658,N
3438A,87.6162,43.8801,N
3439A,87.7024,43.8004,N
3440A,87.4921,43.8411,N
3441A,87.546,44.1912,N
3442A,86.047,44.2331,N
3443A,113.2902,23.5544,N
3444A,116.454,23.2684,N
3445A,113.7858,23.7478,N
3446A,113.8051,23.2614,N
3447A,114.3551,22.7151,N
3448A,113.5433,22.1163,N
3449A,113.05,22.4667,N
3450A,111.01,21.5165,N
3451A,112.5617,23.2083,N
3452A,114.6517,22.775,N
3453A,112.0125,21.8749,N
3454A,113.3528,22.478,N
3455A,113.076,23.7198,N
3456A,114.289,38.0906,N
3457A,118.4359,39.2762,N
3458A,114.7895,36.5593,N
3459A,115.5989,37.5491,N
3460A,117.4067,40.0583,N
3461A,117.3045,39.7169,N
3462A,117.8199,39.3521,N
3463A,116.9708,33.591,N
3464A,117.3803,31.9147,N
3465A,118.4781,31.3225,N
3466A,118.2746,31.2326,N
3468A,115.7901,32.8613,N
3469A,115.836,32.9183,N
3470A,118.7724,30.9141,N
3471A,113.616563,34.86783,N
3473A,114.2485,34.8306,N
3474A,114.2617,35.6822,N
3475A,113.9188,35.3045,N
3476A,113.9135,35.3327,N
3477A,113.1656,35.2539,N
3478A,113.9749,33.5664,N
3479A,114.0967,33.5906,N
3480A,129.1368,47.6417,N
3481A,125.141,46.634,N
3482A,107.7541,29.3277,N
3483A,108.7661,29.5368,N
3484A,106.2628,29.32,N
3485A,107.0944,29.1608,N
3486A,124.4036,43.1411,N
3487A,104.2394,30.5319,N
3488A,104.3853,30.7453,N
3489A,104.0789,30.4072,N
3490A,105.3617,28.7703,N
3491A,104.69,31.5322,N
3492A,104.5648,31.5343,N
3494A,117.1673,36.9782,N
3495A,117.1171,36.63,N
3496A,118.3604,35.1084,N
3498A,118.5055,37.8612,N
3500A,116.5814,35.3707,N
3501A,116.8249,35.5593,N
3502A,117.1812,36.2275,N
3503A,117.0313,36.2018,N
3504A,117.0829,36.13,N
3505A,122.1379,37.3414,N
3507A,119.5328,35.4625,N
3511A,116.5652,37.3319,N
3512A,116.049,36.4674,N
3513A,116.0445,36.4361,N
3514A,117.9378,37.3956,N
3515A,117.9378,37.3553,N
3516A,118.0917,37.694,N
3520A,106.3495,38.9836,N
3521A,106.7492,39.2069,N
3522A,106.2177,35.9959,N
3523A,106.5105,38.3856,N
3524A,108.6116,34.1164,N
3525A,108.6396,34.4078,N
3526A,119.5189,25.9664,N
3527A,118.0958,24.5688,N
3528A,118.1493,24.7245,N
3529A,118.6333,24.9264,N
3530A,117.6296,24.5314,N
3531A,110.296,25.1253,N
3532A,110.1945,22.6831,N
3533A,110.0527,22.5893,N
3534A,111.4744,24.4553,N
3535A,109.1781,23.7297,N
3536A,106.8547,27.5919,N
3537A,105.3631,27.3533,N
3538A,107.5175,26.2978,N
3539A,110.5111,19.9736,N
3540A,109.7348,18.3443,N
3541A,109.5726,19.5167,N
3542A,109.5567,19.5187,N
3543A,112.3466,16.8396,N
3544A,121.4891,30.925,N
3545A,110.8054,32.8401,N
3546A,111.4606,30.552,N
3547A,112.1632,31.0138,N
3548A,112.1655,30.3364,N
3549A,109.5061,30.3772,N
3550A,102.7997,24.9786,N
3551A,102.5967,24.6736,N
3552A,102.6678,24.9856,N
3557A,119.9464,30.0494,N
3558A,119.7183,30.2367,N
3560A,120.4722,30.0415,N
3561A,120.6985,27.9251,N
3562A,120.4148,30.8538,N
3564A,121.2568,28.6681,N
3565A,113.1367,40.1122,N
3566A,113.1186,40.2556,N
3567A,113.5931,40.0461,N
3568A,113.06,36.0464,N
3569A,112.8792,36.3144,N
3570A,113.235,36.3489,N
3571A,112.2931,39.53,N
3572A,114.6419615,37.9001925,N
3573A,114.8506765,38.0322033,N
3574A,114.0504658,38.0591645,N
3575A,118.09279,39.58089,N
3576A,118.1562,39.8322,N
3577A,118.43673,39.73809,N
3578A,118.24498,39.66941,N
3579A,114.50634,36.77178,N
3580A,114.20016,36.44293,N
3581A,115.31981,38.95208,N
3582A,115.47694,38.76408,N
3583A,115.62909,39.02311,N
3584A,115.8844,39.0341,N
3585A,115.8665,39.0645,N
3586A,115.923,38.9405,N
3587A,115.9324,38.9338,N
3588A,116.0901,38.9816,N
3589A,116.1105,39.0046,N
3590A,113.8374,34.5589,N
3591A,113.30952,34.803229,N
3592A,114.4644,34.7556,N
3593A,112.5736,34.8993,N
3594A,112.8867,33.9116,N
3596A,114.1572,35.9603,N
3597A,113.8134,34.1251,N
3598A,111.1,34.7167,N
3599A,106.2649,29.9851,N
3600A,106.2339,29.5559,N
3601A,106.0499,29.8342,N
3604A,119.3266,35.1044,N
3605A,109.09,34.5236,N
3606A,108.7108,34.46,N
3607A,108.7096,34.2956,N
3608A,108.8558,34.4978,N
3610A,105.5933,29.4105,N
3612A,85.1045,45.6899,N
3613A,87.3095,44.0142,N
3614A,79.924,37.0877,N
3615A,79.9131,37.113,N
3616A,106.7616,31.8344,N
3617A,105.8047,32.4166,N
3618A,112.4701,37.782,N
3619A,113.617,37.8571,N
3620A,112.8271,35.4828,N
3621A,106.8288,39.6778,N
3622A,113.5556,24.8082,N
3623A,113.8953,22.5861,N
3624A,116.4069,23.2533,N
3625A,113.2544,22.7642,N
3626A,113.7533,23.0202,N
3627A,113.7875,23.0457,N
3628A,112.0336,22.9374,N
3629A,101.8305,36.5786,N
3630A,101.7413,36.6397,N
3631A,114.6063,38.0266,N
3633A,118.4918,31.6809,N
3634A,116.9884,33.6305,N
3635A,112.3677,34.662,N
3636A,112.4388,34.6781,N
3637A,131.0176,45.7761,N
3638A,104.7636,29.3338,N
3639A,104.4019,31.1244,N
3642A,120.3503,36.0736,N
3643A,120.3948,36.1805,N
3644A,117.8661,36.805,N
3645A,118.0253,36.8406,N
3646A,118.4978,37.4623,N
3647A,115.4702,35.2706,N
3648A,106.2112,37.9768,N
3650A,105.1698,37.5162,N
3651A,108.9543,34.8732,N
3652A,109.4809,36.5786,N
3653A,111.3119,30.7273,N
3654A,114.8094,30.4089,N
3655A,114.3375,29.8683,N
3656A,120.1556,30.2864,N
3658A,120.6153,30.0764,N
3659A,119.656,29.1131,N
3661A,112.5667,37.8875,N
3662A,123.6333,47.2075,N
3663A,124.1164,50.4278,N
3664A,119.4172,34.7341,N
3665A,76.1658,39.7157,N
3667A,111.0283,35.0547,N
3668A,111.5036,36.0414,N
3669A,114.4705,36.0637,N
3670A,111.0522,35.0439,N
3671A,116.088,39.9726,N
3672A,116.1541,39.8204,N
3673A,116.6804,39.9081,N
3674A,115.9577,39.7603,N
3675A,116.4672,39.7733,N
3676A,113.2802,40.0995,N
3677A,98.5881,24.4368,N
3678A,116.5907,35.4054,N
3682A,116.9814,36.6819,N
3683A,109.8331,40.6576,N
3684A,130.8781,45.8222,N
3685A,117.897,28.4315,N
3689A,113.9003,35.372,N
3690A,115.9721,28.7031,N
3692A,118.2059,39.6585,N
3693A,118.1436,39.6202,N
3694A,115.986,40.4563,N
3695A,116.6151,40.3053,N
3696A,116.2545,39.8768,N
3697A,116.84,40.3844,N
3698A,111.5968,40.8178,N
3699A,111.6518,40.8389,N
3700A,103.0456,29.9956,Y
3701A,116.9648,33.6252,N
3703A,114.2917,36.0949,N
3706A,122.2584,43.6333,N
3707A,131.0207,45.3073,N
3708A,122.2922,43.6189,N
3709A,130.9967,45.3106,N
3710A,121.5594,29.8975,N
3713A,124.3419,43.1666,N
3715A,117.3092,32.9314,N
3719A,97.1714,31.1406,N
3726A,88.8781,29.2426,N
3728A,104.68,28.8071,N
3734A,118.35,37.26,N
3860A,118.392,35.03,N
3861A,119.2041,36.7699,N
3866A,122.2469,40.66302,N
3867A,102.0738,36.5056,N
